price,owners
9.99,3500000
4.99,750000
14.99,1500000
5.99,10000
5.99,35000
6.99,350000
6.99,3500000
14.99,3500000
14.99,350000
3.99,35000
3.99,35000
35.96,1500000
12.99,1500000
9.99,350000
2.99,10000
4.79,10000
4.99,10000
3.49,35000
13.99,150000
6.49,350000
6.49,350000
13.99,1500000
8.59,35000
8.59,150000
8.59,350000
6.99,1500000
7.99,1500000
0.0,350000
9.99,75000
0.0,750000
6.99,350000
6.99,350000
7.99,750000
3.99,75000
12.99,1500000
12.99,1500000
0.0,1500000
14.99,3500000
7.99,3500000
3.99,150000
5.99,35000
14.99,750000
6.99,350000
6.99,350000
6.99,350000
1.59,10000
3.99,150000
3.99,150000
7.99,150000
7.99,75000
6.99,350000
4.79,35000
7.99,1500000
6.99,35000
6.99,75000
6.99,35000
10.99,150000
34.99,1500000
0.0,3500000
10.99,3500000
7.99,350000
6.99,35000
6.99,350000
3.99,75000
7.99,150000
14.99,35000
14.99,35000
7.19,150000
9.99,750000
9.99,1500000
9.99,1500000
9.99,750000
9.99,1500000
9.99,350000
9.99,350000
9.99,350000
14.99,3500000
19.99,1500000
22.99,750000
7.99,150000
1.99,35000
0.0,75000
4.79,35000
3.99,75000
9.99,350000
7.49,150000
3.99,75000
7.99,750000
4.99,350000
6.99,75000
7.99,75000
7.99,150000
7.99,150000
8.99,75000
3.99,10000
10.99,1500000
15.99,750000
6.99,150000
3.99,35000
4.99,10000
15.99,10000
0.79,75000
14.99,150000
5.99,10000
6.99,35000
5.99,35000
3.99,75000
1.69,35000
4.79,75000
7.99,750000
3.99,35000
3.99,35000
3.99,35000
6.99,750000
0.99,350000
6.99,75000
3.99,750000
15.99,10000
5.19,10000
5.19,35000
5.19,10000
5.19,35000
5.19,10000
5.19,10000
5.19,10000
5.19,10000
5.19,10000
5.19,10000
5.19,10000
5.19,10000
5.19,10000
5.19,10000
5.19,10000
3.99,10000
5.99,75000
6.99,10000
5.99,75000
3.99,10000
6.99,75000
6.99,35000
4.79,150000
15.49,75000
4.79,150000
4.79,750000
7.19,750000
7.19,3500000
4.79,1500000
2.09,750000
4.79,1500000
4.79,35000
15.49,750000
15.49,1500000
15.49,750000
15.49,75000
7.19,350000
15.49,1500000
15.49,1500000
15.49,350000
14.99,10000
3.99,35000
3.99,35000
6.99,35000
6.99,35000
14.99,10000
0.0,35000
0.0,35000
6.99,35000
6.99,35000
6.99,35000
6.99,35000
6.99,35000
6.99,35000
14.99,10000
13.99,75000
3.99,350000
3.99,350000
3.99,350000
3.99,150000
7.19,150000
8.59,1500000
8.59,350000
8.59,10000
8.59,350000
5.99,350000
3.99,150000
4.99,350000
4.99,150000
3.99,35000
4.99,75000
4.99,10000
9.99,150000
3.99,75000
4.99,10000
14.99,75000
14.99,10000
7.99,1500000
11.99,3500000
3.99,150000
8.99,35000
9.99,35000
9.99,750000
0.0,3500000
4.99,350000
4.99,150000
3.99,75000
11.99,35000
5.99,350000
6.99,10000
6.99,10000
3.99,35000
2.99,35000
4.99,150000
5.99,1500000
6.99,1500000
0.79,350000
6.99,75000
7.99,350000
2.99,75000
7.99,750000
14.99,3500000
9.99,75000
6.99,35000
10.99,75000
14.99,3500000
6.99,350000
7.99,350000
3.99,35000
9.99,1500000
13.99,3500000
0.0,75000
3.99,75000
3.99,10000
10.99,10000
10.99,10000
3.49,10000
4.99,10000
4.99,10000
4.99,10000
4.99,10000
6.99,10000
6.99,10000
6.99,150000
6.99,35000
9.99,150000
3.99,35000
7.49,10000
7.49,10000
7.49,10000
7.49,10000
7.49,10000
10.99,10000
7.49,10000
6.99,10000
4.99,10000
4.99,10000
4.99,10000
4.99,10000
4.99,10000
4.99,10000
4.99,10000
2.99,350000
1.49,10000
1.99,150000
14.99,10000
7.99,35000
14.99,10000
6.99,10000
6.99,10000
6.99,10000
6.99,10000
6.99,10000
6.99,10000
3.99,10000
3.99,10000
3.99,10000
6.99,10000
6.99,10000
6.99,10000
6.99,10000
6.99,10000
0.79,75000
5.59,35000
7.99,1500000
7.99,1500000
7.99,750000
6.99,35000
6.99,35000
6.99,35000
14.99,35000
6.99,350000
3.99,350000
3.99,350000
4.99,350000
0.0,1500000
2.99,75000
0.0,3500000
9.99,1500000
9.99,750000
4.99,350000
4.99,750000
9.99,1500000
8.99,750000
8.99,350000
8.99,150000
8.99,150000
8.99,150000
4.49,150000
4.49,150000
8.99,750000
8.99,350000
4.49,75000
8.99,350000
17.99,350000
1.79,350000
3.99,10000
8.99,1500000
6.99,10000
6.99,10000
7.99,750000
3.99,35000
7.99,75000
7.99,35000
7.99,75000
3.99,150000
7.99,1500000
6.99,350000
3.99,150000
2.09,35000
7.99,750000
3.99,350000
3.99,150000
3.49,1500000
7.49,1500000
11.99,150000
7.99,350000
10.99,1500000
29.99,3500000
3.99,350000
0.0,350000
1.99,10000
10.99,1500000
14.99,10000
6.99,10000
6.99,10000
12.99,1500000
6.99,75000
10.99,750000
6.99,350000
3.49,10000
7.99,750000
6.99,150000
10.99,150000
5.19,35000
5.19,10000
4.99,10000
1.99,350000
14.99,150000
29.99,3500000
7.99,35000
7.99,75000
7.99,150000
7.99,3500000
7.99,75000
1.59,35000
1.59,75000
1.59,35000
14.99,750000
7.99,150000
14.99,150000
7.99,350000
4.99,75000
5.99,75000
7.99,35000
5.19,35000
2.99,35000
19.98,1500000
9.99,150000
3.99,75000
8.99,10000
4.99,150000
7.19,75000
3.99,150000
6.99,150000
0.99,150000
6.99,75000
6.99,10000
1.59,150000
15.99,350000
6.49,75000
12.99,75000
2.99,35000
14.99,750000
12.99,150000
22.99,750000
14.99,350000
3.99,75000
0.0,35000
4.99,150000
3.99,150000
2.79,75000
2.79,75000
2.79,150000
3.99,150000
2.79,75000
3.99,75000
3.99,75000
2.79,75000
3.99,150000
6.99,350000
3.99,75000
6.99,150000
5.59,150000
5.59,150000
9.99,750000
9.99,750000
6.99,150000
3.99,150000
5.59,150000
6.99,75000
2.89,35000
34.95,35000
34.95,35000
6.99,10000
7.99,10000
2.09,35000
9.99,75000
34.95,35000
10.99,35000
10.99,10000
34.95,35000
34.95,35000
10.99,10000
6.99,10000
6.99,10000
6.99,10000
0.0,750000
0.0,1500000
9.99,350000
9.99,150000
14.99,1500000
14.99,1500000
7.99,75000
19.99,1500000
14.99,1500000
24.99,3500000
19.99,350000
6.99,3500000
25.99,150000
8.59,10000
12.49,750000
16.99,750000
14.99,3500000
7.99,1500000
14.99,150000
6.99,350000
4.99,10000
7.99,75000
3.99,35000
0.0,350000
19.99,7500000
6.99,750000
3.99,75000
3.99,75000
3.99,150000
5.99,75000
19.99,3500000
19.99,3500000
6.99,75000
4.99,10000
6.99,10000
6.99,10000
6.99,10000
6.99,10000
4.99,10000
4.99,10000
6.99,10000
6.99,10000
6.99,10000
4.99,10000
6.99,10000
6.99,10000
6.99,150000
6.99,350000
14.99,3500000
14.99,1500000
14.99,350000
19.99,3500000
6.99,3500000
1.99,35000
1.99,150000
14.99,3500000
9.99,150000
4.99,350000
6.99,350000
6.99,150000
12.49,3500000
3.99,35000
14.99,350000
2.99,75000
14.99,1500000
6.99,150000
6.99,35000
3.49,75000
7.99,350000
6.99,150000
6.99,150000
6.99,150000
7.99,750000
6.99,75000
6.99,35000
0.0,75000
6.99,10000
4.99,75000
4.99,75000
4.99,150000
3.99,150000
6.99,75000
6.99,150000
3.99,350000
8.59,350000
4.99,75000
2.99,75000
3.99,150000
6.99,350000
7.19,35000
3.99,350000
6.99,150000
3.99,150000
6.99,75000
3.99,75000
6.99,350000
6.99,750000
3.99,75000
3.99,75000
11.99,350000
5.59,150000
4.99,75000
7.19,750000
2.09,35000
3.99,35000
7.19,35000
6.99,35000
4.49,75000
13.99,350000
0.0,350000
4.49,350000
8.99,150000
13.99,150000
3.99,35000
11.99,350000
19.99,350000
5.99,750000
3.49,1500000
9.99,1500000
14.99,3500000
29.99,1500000
4.99,150000
19.99,1500000
6.99,1500000
0.79,350000
0.79,350000
0.79,350000
5.79,35000
14.99,35000
3.99,1500000
12.99,350000
6.49,150000
0.79,35000
10.99,750000
6.99,350000
4.99,350000
5.59,350000
5.59,350000
7.19,150000
14.99,75000
5.59,350000
5.59,350000
5.59,150000
0.0,750000
6.99,350000
0.79,150000
9.99,15000000
0.0,75000
14.99,350000
8.99,35000
7.99,150000
14.99,35000
7.99,150000
6.99,35000
4.25,350000
11.99,35000
6.99,75000
3.49,75000
6.99,350000
3.99,150000
3.99,150000
3.99,150000
6.99,150000
7.19,75000
2.99,35000
6.99,350000
7.99,750000
